order_id,customer_id,order_purchase_timestamp,order_approved_at
4b30d547305dc914c94aaef8f842ebc2,665529d7b38b94e83d5ddf8efa19ca3b,2018-08-10 09:22:06,2018-08-10 09:35:19
bd18cc55469db99cfb36886d68bb3791,0bc6abbafdd2f89eb203507e7f1fc11d,2018-06-03 14:28:31,2018-06-03 14:50:01
37ec91b7248a28948cfedf05c2a82b15,0443dd75d52f59a5b0061b149534737e,2017-11-29 14:08:40,2017-11-29 14:29:50
317e2a850e41487363a134bb3369262b,634df8e0e275262ab76a3d15a07ddbac,2018-08-14 06:34:28,2018-08-14 06:45:10
eb1159e15cad602c36e16646e5662b85,d37306b60a0a5c64443841a857f15928,2018-04-19 09:35:17,2018-04-19 09:52:34
3b8a6f4c963d2e04b3d7a0bb8dc84b6e,d610dc41c3d497009a9eb42b88bd5dff,2018-02-05 21:16:24,2018-02-06 16:35:40
a02db77e1f2b1eb32c2cf8793740843d,c3b0b7386717984ceb75277f0dccfaff,2017-11-04 21:14:30,2017-11-04 21:25:34
a412fcc423174e5405df95cc482dba6a,dd265b228bcddbbb6142d6e9298da605,2017-11-14 15:39:37,2017-11-14 15:51:06
29150127e6685892b6eab3eec79f59c7,18955e83d337fd6b2def6b18a428ac77,2018-01-12 20:48:24,2018-01-12 20:58:32
ef39ac02e696ce34d885bf4479217715,da6aae9fbd2ff1eed73d3980331b4032,2017-04-11 17:18:27,2017-04-11 17:45:17
5691108060e2d41f29c317bb5f4d70ab,08ecdefcac7e5d4d92cd6206d6401d09,2018-02-09 17:33:50,2018-02-09 17:49:30
21ff9e52b420083bfc502b827916d069,a178d9b6b37f806862322140af76d744,2017-07-02 12:09:00,2017-07-02 12:23:52
97514c152882f3625b91ce58ddc0c3b6,24d4b8f86f9a112d72f1a22858fbd636,2017-09-21 08:35:08,2017-09-21 08:45:39
ae168dfba236919411fe08f336fefa44,63572a1269de35c881dc1ca268e20fa0,2018-02-27 09:10:07,2018-02-27 09:30:27
5697c84d8f3e63f51bebf917fa2b72cf,d8cf9aaa20e7204f0606dbeeca4f88ad,2018-04-07 22:57:59,2018-04-07 23:10:18
e2e6ee1ed2d7f2f36b05d234983bd7a0,20a92c393edb6c08801eef97295257f7,2018-07-28 13:14:57,2018-07-30 09:50:20
306193c0f58d9f95461c43563b65166c,601f0d17fa986363bc18f776bca2d709,2017-10-14 17:12:45,2017-10-14 17:28:09
0dac27d443a138000f35bd9137ecd1fc,c50d3c4249e1bd0372df487ad95d8264,2018-01-11 22:48:59,2018-01-13 04:55:05
cbcad9f5b09ead6b9ae965fd9f598ba8,b65b5017b8e86bde50b8930ed0958286,2018-02-16 09:01:38,2018-02-16 09:35:26
7a4f9c8e2172d566e71f204a6187268a,ac6dec66b774a07045cdd6078ec77e46,2018-02-07 14:07:46,2018-02-07 14:32:00
f2d87ed38676765184a73e871a9e3ece,3739f75c5836f6b41beb45a988b32888,2018-07-25 14:20:31,2018-07-25 14:30:27
